term,mean,ci_low,ci_high,pd,rope_perc,rate_ratio_mean,rate_ratio_ci_l,rate_ratio_ci_h
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Acer,0.009,-3.95,3.997,0.503,0.04,1.009,0.019,54.444
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Betula,-0.013,-3.822,3.861,0.503,0.04,0.987,0.022,47.523
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Eucalyptus,-0.004,-3.876,3.902,0.501,0.04,0.996,0.021,49.495
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Fagus,-0.009,-3.886,3.927,0.502,0.039,0.991,0.021,50.74
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Ilex,-0.002,-3.898,3.916,0.5,0.041,0.998,0.02,50.197
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Pinus,0.004,-3.924,3.851,0.502,0.04,1.004,0.02,47.041
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Quercus,0.004,-3.891,3.896,0.501,0.04,1.004,0.02,49.201
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Rubus,0.014,-3.933,3.98,0.507,0.04,1.014,0.02,53.512
dominanttree1Castanea:dominanttree2Fraxinus:dominanttree3Sambucus,0.007,-3.833,3.851,0.502,0.039,1.007,0.022,47.029
dominanttree1Castanea:dominanttree2Picea,0.001,-3.921,3.907,0.501,0.043,1.001,0.02,49.766
dominanttree1Castanea:dominanttree2Picea:dominanttree3Acer,-0.005,-3.941,3.903,0.504,0.039,0.995,0.019,49.559
dominanttree1Castanea:dominanttree2Picea:dominanttree3Betula,0.017,-3.871,3.911,0.506,0.039,1.017,0.021,49.946
dominanttree1Castanea:dominanttree2Picea:dominanttree3Eucalyptus,0.012,-3.845,3.907,0.5,0.04,1.012,0.021,49.729
dominanttree1Castanea:dominanttree2Picea:dominanttree3Fagus,0.003,-3.928,3.934,0.504,0.041,1.003,0.02,51.102
dominanttree1Castanea:dominanttree2Picea:dominanttree3Ilex,-0.012,-4.057,3.89,0.501,0.041,0.988,0.017,48.893
dominanttree1Castanea:dominanttree2Picea:dominanttree3Pinus,0.005,-3.865,3.887,0.501,0.043,1.005,0.021,48.779
dominanttree1Castanea:dominanttree2Picea:dominanttree3Quercus,0.015,-3.868,3.956,0.502,0.041,1.015,0.021,52.24
dominanttree1Castanea:dominanttree2Picea:dominanttree3Rubus,-0.008,-3.976,3.959,0.504,0.039,0.992,0.019,52.409
dominanttree1Castanea:dominanttree2Picea:dominanttree3Sambucus,0.007,-3.778,3.808,0.502,0.04,1.007,0.023,45.063
dominanttree1Castanea:dominanttree2Pinus,-0.789,-4.449,2.904,0.667,0.039,0.454,0.012,18.247
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Acer,-0.001,-3.859,3.926,0.501,0.041,0.999,0.021,50.692
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Betula,0.015,-3.929,3.98,0.503,0.038,1.015,0.02,53.496
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Eucalyptus,0.002,-3.911,3.899,0.501,0.038,1.002,0.02,49.359
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Fagus,0.002,-3.924,3.932,0.501,0.041,1.002,0.02,51.01
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Ilex,0.007,-3.911,3.878,0.501,0.043,1.007,0.02,48.312
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Pinus,-0.014,-3.857,3.83,0.505,0.035,0.986,0.021,46.074
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Quercus,-0.787,-4.562,2.942,0.662,0.039,0.455,0.01,18.955
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Rubus,0.022,-3.865,3.908,0.501,0.04,1.022,0.021,49.822
dominanttree1Castanea:dominanttree2Pinus:dominanttree3Sambucus,0.003,-3.883,3.92,0.501,0.039,1.003,0.021,50.418
dominanttree1Castanea:dominanttree2Prunus,0.005,-3.869,3.889,0.502,0.04,1.005,0.021,48.885
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Acer,-0.013,-3.842,3.839,0.5,0.042,0.987,0.021,46.484
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Betula,-0.011,-3.855,3.767,0.5,0.044,0.989,0.021,43.25
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Eucalyptus,0.009,-3.935,3.987,0.5,0.04,1.009,0.02,53.891
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Fagus,0.015,-3.939,4.012,0.502,0.042,1.015,0.019,55.27
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Ilex,0.001,-4.024,3.957,0.504,0.04,1.001,0.018,52.28
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Pinus,-0.005,-3.975,3.967,0.5,0.038,0.995,0.019,52.835
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Quercus,-0.005,-3.987,3.941,0.502,0.04,0.995,0.019,51.48
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Rubus,-0.022,-4.02,3.941,0.505,0.04,0.978,0.018,51.449
dominanttree1Castanea:dominanttree2Prunus:dominanttree3Sambucus,-0.003,-3.955,3.919,0.503,0.044,0.997,0.019,50.366
dominanttree1Castanea:dominanttree2Quercus,-0.646,-4.161,2.922,0.638,0.044,0.524,0.016,18.582
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Acer,0.002,-4.01,4.007,0.502,0.037,1.002,0.018,54.977
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Betula,0.008,-3.877,3.922,0.5,0.041,1.008,0.021,50.476
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Eucalyptus,-0.022,-3.901,3.944,0.503,0.043,0.978,0.02,51.64
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Fagus,0.244,-3.411,3.865,0.55,0.04,1.277,0.033,47.701
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Ilex,0.011,-3.842,3.966,0.502,0.04,1.011,0.021,52.762
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Pinus,-0.022,-3.875,3.907,0.51,0.038,0.979,0.021,49.726
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Quercus,-0.02,-3.884,3.854,0.507,0.042,0.98,0.021,47.162
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Rubus,-0.912,-4.599,2.769,0.682,0.035,0.402,0.01,15.95
dominanttree1Castanea:dominanttree2Quercus:dominanttree3Sambucus,-0.006,-3.871,3.868,0.501,0.041,0.994,0.021,47.851
dominanttree1Castanea:dominanttree3Acer,0.012,-3.934,3.939,0.507,0.039,1.012,0.02,51.368
dominanttree1Castanea:dominanttree3Betula,-0.033,-3.893,3.889,0.508,0.039,0.968,0.02,48.875
dominanttree1Castanea:dominanttree3Eucalyptus,-0.002,-3.886,3.901,0.5,0.039,0.998,0.021,49.463
dominanttree1Castanea:dominanttree3Fagus,0.282,-3.385,3.95,0.561,0.044,1.326,0.034,51.961
dominanttree1Castanea:dominanttree3Ilex,-0.015,-3.893,3.8,0.502,0.04,0.985,0.02,44.714
dominanttree1Castanea:dominanttree3Pinus,-0.009,-3.944,3.894,0.502,0.038,0.991,0.019,49.122
dominanttree1Castanea:dominanttree3Quercus,-0.764,-4.461,2.94,0.658,0.04,0.466,0.012,18.912
dominanttree1Castanea:dominanttree3Rubus,-0.908,-4.667,2.826,0.682,0.04,0.403,0.009,16.873
dominanttree1Castanea:dominanttree3Sambucus,0.001,-3.983,3.926,0.5,0.04,1.001,0.019,50.718
dominanttree1Fagus,0.309,-2.599,3.141,0.588,0.056,1.363,0.074,23.125
dominanttree1Fagus:dominanttree2Acer,0.003,-3.584,3.603,0.502,0.042,1.003,0.028,36.713
dominanttree1Fagus:dominanttree2Acer:dominanttree3Acer,-0.002,-3.823,3.926,0.501,0.042,0.998,0.022,50.685
dominanttree1Fagus:dominanttree2Acer:dominanttree3Betula,0.017,-3.853,3.92,0.501,0.041,1.017,0.021,50.418
dominanttree1Fagus:dominanttree2Acer:dominanttree3Eucalyptus,0.005,-3.962,3.938,0.503,0.039,1.005,0.019,51.333
dominanttree1Fagus:dominanttree2Acer:dominanttree3Fagus,0.013,-3.888,3.949,0.501,0.039,1.013,0.02,51.871
dominanttree1Fagus:dominanttree2Acer:dominanttree3Ilex,-0.001,-3.98,4,0.505,0.04,0.999,0.019,54.584
dominanttree1Fagus:dominanttree2Acer:dominanttree3Pinus,0.013,-3.888,3.931,0.503,0.041,1.013,0.02,50.971
dominanttree1Fagus:dominanttree2Acer:dominanttree3Quercus,0.017,-3.667,3.685,0.505,0.046,1.017,0.026,39.841
dominanttree1Fagus:dominanttree2Acer:dominanttree3Rubus,0.009,-3.904,3.921,0.508,0.041,1.009,0.02,50.474
dominanttree1Fagus:dominanttree2Acer:dominanttree3Sambucus,0.016,-3.817,3.813,0.5,0.041,1.017,0.022,45.288
dominanttree1Fagus:dominanttree2Alnus,-0.01,-3.897,3.876,0.502,0.039,0.99,0.02,48.246
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Acer,-0.001,-3.852,3.879,0.502,0.044,0.999,0.021,48.386
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Betula,0.021,-3.791,3.888,0.504,0.039,1.021,0.023,48.796
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Eucalyptus,0,-3.906,3.899,0.503,0.041,1,0.02,49.361
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Fagus,-0.007,-3.916,3.867,0.501,0.039,0.993,0.02,47.807
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Ilex,0.018,-3.952,3.967,0.507,0.036,1.019,0.019,52.813
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Pinus,-0.015,-3.99,3.951,0.504,0.039,0.986,0.019,52.001
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Quercus,0.01,-3.889,3.877,0.502,0.04,1.01,0.02,48.257
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Rubus,-0.004,-3.86,3.924,0.504,0.039,0.996,0.021,50.611
dominanttree1Fagus:dominanttree2Alnus:dominanttree3Sambucus,-0.01,-4.018,3.966,0.502,0.04,0.99,0.018,52.774
dominanttree1Fagus:dominanttree2Betula,-0.055,-3.456,3.37,0.51,0.047,0.946,0.032,29.076
dominanttree1Fagus:dominanttree2Betula:dominanttree3Acer,0.007,-3.93,3.933,0.502,0.04,1.007,0.02,51.085
dominanttree1Fagus:dominanttree2Betula:dominanttree3Betula,0.012,-4.015,3.981,0.503,0.042,1.012,0.018,53.586
dominanttree1Fagus:dominanttree2Betula:dominanttree3Eucalyptus,-0.01,-3.884,3.847,0.506,0.04,0.99,0.021,46.873
dominanttree1Fagus:dominanttree2Betula:dominanttree3Fagus,-0.001,-3.866,3.872,0.502,0.043,0.999,0.021,48.045
dominanttree1Fagus:dominanttree2Betula:dominanttree3Ilex,0.01,-3.95,3.938,0.503,0.039,1.01,0.019,51.294
dominanttree1Fagus:dominanttree2Betula:dominanttree3Pinus,-0.006,-3.986,3.987,0.502,0.041,0.994,0.019,53.909
dominanttree1Fagus:dominanttree2Betula:dominanttree3Quercus,0.002,-3.91,3.949,0.501,0.042,1.002,0.02,51.867
dominanttree1Fagus:dominanttree2Betula:dominanttree3Rubus,0.016,-3.944,3.929,0.507,0.041,1.016,0.019,50.87
dominanttree1Fagus:dominanttree2Betula:dominanttree3Sambucus,-0.013,-4.028,3.932,0.502,0.042,0.987,0.018,50.998
dominanttree1Fagus:dominanttree2Cedrus,0.001,-3.951,3.851,0.503,0.037,1.001,0.019,47.053
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Acer,-0.004,-3.874,3.863,0.502,0.042,0.996,0.021,47.607
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Betula,0.004,-3.899,3.852,0.507,0.036,1.004,0.02,47.065
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Eucalyptus,-0.012,-3.965,3.91,0.504,0.042,0.988,0.019,49.875
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Fagus,0.009,-3.93,3.946,0.501,0.042,1.009,0.02,51.721
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Ilex,0.014,-3.94,3.933,0.501,0.042,1.014,0.019,51.076
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Pinus,-0.017,-3.827,3.829,0.506,0.042,0.984,0.022,46.008
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Quercus,-0.003,-3.905,3.879,0.5,0.039,0.997,0.02,48.387
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Rubus,-0.011,-3.959,3.924,0.504,0.044,0.989,0.019,50.581
dominanttree1Fagus:dominanttree2Cedrus:dominanttree3Sambucus,-0.004,-3.939,3.908,0.502,0.041,0.996,0.019,49.788
dominanttree1Fagus:dominanttree2Crataegus,0.017,-3.845,3.889,0.505,0.039,1.018,0.021,48.871
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Acer,0.005,-3.835,3.813,0.502,0.041,1.005,0.022,45.279
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Betula,-0.009,-4.025,3.911,0.5,0.037,0.991,0.018,49.929
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Eucalyptus,0.022,-3.899,3.839,0.506,0.044,1.022,0.02,46.472
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Fagus,-0.004,-3.893,3.955,0.5,0.043,0.996,0.02,52.185
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Ilex,-0.009,-3.894,3.915,0.505,0.04,0.991,0.02,50.157
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Pinus,0,-4.015,4.037,0.502,0.043,1,0.018,56.63
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Quercus,0.009,-3.932,3.941,0.504,0.038,1.009,0.02,51.488
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Rubus,0.004,-3.878,3.883,0.501,0.041,1.004,0.021,48.55
dominanttree1Fagus:dominanttree2Crataegus:dominanttree3Sambucus,0.017,-3.837,3.873,0.505,0.039,1.017,0.022,48.109
dominanttree1Fagus:dominanttree2Fagus,0.014,-3.915,3.987,0.501,0.039,1.014,0.02,53.892
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Acer,0.005,-3.961,3.938,0.501,0.04,1.005,0.019,51.31
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Betula,-0.013,-3.82,3.825,0.501,0.042,0.988,0.022,45.814
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Eucalyptus,0.009,-3.816,3.815,0.504,0.037,1.01,0.022,45.385
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Fagus,-0.007,-3.973,3.922,0.5,0.042,0.993,0.019,50.522
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Ilex,-0.008,-3.763,3.874,0.504,0.039,0.992,0.023,48.126
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Pinus,0.011,-3.947,4.004,0.5,0.039,1.011,0.019,54.83
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Quercus,-0.002,-4.056,4.008,0.501,0.043,0.998,0.017,55.011
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Rubus,0.005,-3.92,3.976,0.501,0.041,1.005,0.02,53.287
dominanttree1Fagus:dominanttree2Fagus:dominanttree3Sambucus,0.007,-3.958,3.858,0.5,0.04,1.007,0.019,47.393
dominanttree1Fagus:dominanttree2Fraxinus,-0.018,-3.908,3.906,0.502,0.039,0.982,0.02,49.691
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Acer,-0.022,-3.991,3.891,0.503,0.041,0.978,0.018,48.947
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Betula,0.002,-4.005,3.925,0.501,0.041,1.002,0.018,50.631
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Eucalyptus,-0.008,-3.988,3.915,0.503,0.041,0.992,0.019,50.135
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Fagus,0.004,-3.894,3.889,0.501,0.039,1.004,0.02,48.852
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Ilex,-0.01,-3.961,3.93,0.502,0.041,0.99,0.019,50.913
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Pinus,-0.002,-3.864,3.829,0.5,0.04,0.998,0.021,46.016
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Quercus,-0.018,-4.032,3.996,0.502,0.039,0.982,0.018,54.387
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Rubus,0.017,-3.896,3.955,0.505,0.036,1.017,0.02,52.191
dominanttree1Fagus:dominanttree2Fraxinus:dominanttree3Sambucus,-0.002,-3.885,3.851,0.5,0.041,0.998,0.021,47.025
dominanttree1Fagus:dominanttree2Picea,0.663,-2.938,4.254,0.643,0.043,1.94,0.053,70.371
dominanttree1Fagus:dominanttree2Picea:dominanttree3Acer,-0.011,-3.954,3.885,0.501,0.038,0.989,0.019,48.676
dominanttree1Fagus:dominanttree2Picea:dominanttree3Betula,-0.012,-4.028,3.986,0.504,0.039,0.988,0.018,53.861
dominanttree1Fagus:dominanttree2Picea:dominanttree3Eucalyptus,0.002,-3.906,3.908,0.503,0.042,1.002,0.02,49.79
dominanttree1Fagus:dominanttree2Picea:dominanttree3Fagus,0.006,-3.957,3.999,0.5,0.038,1.006,0.019,54.543
dominanttree1Fagus:dominanttree2Picea:dominanttree3Ilex,-0.003,-3.959,3.877,0.501,0.04,0.997,0.019,48.258
dominanttree1Fagus:dominanttree2Picea:dominanttree3Pinus,0.664,-2.979,4.378,0.642,0.037,1.943,0.051,79.701
dominanttree1Fagus:dominanttree2Picea:dominanttree3Quercus,0.019,-3.849,3.9,0.507,0.04,1.019,0.021,49.406
dominanttree1Fagus:dominanttree2Picea:dominanttree3Rubus,-0.011,-3.976,3.892,0.503,0.036,0.989,0.019,49.033
dominanttree1Fagus:dominanttree2Picea:dominanttree3Sambucus,-0.002,-3.805,3.884,0.501,0.038,0.998,0.022,48.595
dominanttree1Fagus:dominanttree2Pinus,0.005,-3.837,3.884,0.5,0.044,1.005,0.022,48.629
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Acer,-0.007,-3.964,3.903,0.501,0.037,0.993,0.019,49.573
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Betula,0.004,-3.989,3.897,0.504,0.037,1.004,0.019,49.232
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Eucalyptus,-0.016,-3.917,3.9,0.504,0.036,0.985,0.02,49.404
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Fagus,0,-3.897,3.978,0.504,0.038,1,0.02,53.432
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Ilex,0.018,-3.922,3.88,0.503,0.043,1.018,0.02,48.421
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Pinus,-0.005,-3.977,3.881,0.502,0.04,0.995,0.019,48.494
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Quercus,-0.001,-3.9,3.786,0.5,0.043,0.999,0.02,44.079
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Rubus,0.006,-3.912,3.863,0.506,0.04,1.006,0.02,47.612
dominanttree1Fagus:dominanttree2Pinus:dominanttree3Sambucus,-0.009,-3.845,3.778,0.5,0.038,0.991,0.021,43.735
dominanttree1Fagus:dominanttree2Prunus,0.015,-3.938,3.948,0.507,0.042,1.016,0.019,51.832
dominanttree1Fagus:dominanttree2Prunus:dominanttree3Acer,0.012,-4.004,3.935,0.503,0.04,1.012,0.018,51.162
